laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,Storage
14,Dell,Dell Workstation 14,2 in 1 Convertible,13.0,"13.0"" 1920x1080",AMD Ryzen 9,8,4GB,NVIDIA GeForce GTX 1660,Windows 11,1.37,1012,Yes,Yes,HDD
15,LG,LG Ultrabook 15,Gaming,15.4,"15.4"" 3840x2160",AMD Ryzen 5,32,8GB,NVIDIA GeForce RTX 3070,Chrome OS,2.47,1966,No,Yes,SSD
16,HP,HP 2 in 1 Convertible 16,2 in 1 Convertible,15.4,"15.4"" 1920x1080",AMD Ryzen 7,32,8GB,AMD Radeon RX 6600M,macOS,1.71,1176,Yes,No,HDD
17,HP,HP Workstation 17,Gaming,16.1,"16.1"" 2560x1440",AMD Ryzen 3,64,64GB,NVIDIA GeForce RTX 3050,macOS,2.96,1401,No,Yes,SSD
18,HP,HP 2 in 1 Convertible 18,Workstation,16.8,"16.8"" 1920x1080",AMD Ryzen 7,64,32GB,NVIDIA GeForce RTX 3050,Chrome OS,1.42,1835,No,No,SSD
19,Asus,Asus Netbook 19,Notebook,16.8,"16.8"" 2560x1440",AMD Ryzen 3,8,256GB,Intel HD Graphics,Windows 11,2.69,247,No,No,HDD
20,MSI,MSI Workstation 20,2 in 1 Convertible,14.2,"14.2"" 1366x768",Intel Core i5,32,8GB,Intel HD Graphics,Chrome OS,1.85,727,Yes,Yes,HDD
21,Samsung,Samsung Netbook 21,Workstation,12.2,"12.2"" 1920x1080",AMD Ryzen 3,16,16GB,AMD Radeon RX 6600M,Windows 11,1.24,818,No,No,HDD
22,Asus,Asus Netbook 22,2 in 1 Convertible,13.2,"13.2"" 1920x1080",Intel Core i9,8,4GB,AMD Radeon RX 6700M,Linux,1.56,1053,Yes,Yes,SSD
23,Microsoft,Microsoft Workstation 23,2 in 1 Convertible,13.5,"13.5"" 1366x768",AMD Ryzen 9,8,256GB,NVIDIA GeForce RTX 3060,Windows 11,1.9,1810,Yes,No,SSD
24,Acer,Acer Workstation 24,Notebook,15.3,"15.3"" 1920x1080",AMD Ryzen 5,32,2TB,NVIDIA GeForce RTX 3050,Chrome OS,2.84,903,No,Yes,SSD
25,Lenovo,Lenovo Netbook 25,2 in 1 Convertible,12.8,"12.8"" 1366x768",Intel Core i3,4,2TB,AMD Radeon RX 6600M,macOS,1.26,468,Yes,Yes,SSD
26,HP,HP Netbook 26,Notebook,12.4,"12.4"" 1920x1080",AMD Ryzen 3,16,8GB,AMD Radeon RX 6800M,Windows 10,1.85,808,No,No,Hybrid
27,Microsoft,Microsoft Workstation 27,Workstation,16.0,"16.0"" 1920x1080",AMD Ryzen 7,128,4GB,AMD Radeon RX 6700M,Windows 10,2.07,4037,Yes,No,HDD
28,Lenovo,Lenovo Ultrabook 28,Workstation,11.6,"11.6"" 2560x1440",AMD Ryzen 3,32,1TB,NVIDIA GeForce RTX 3080,Windows 10,2.98,2062,Yes,Yes,Hybrid
29,Acer,Acer Ultrabook 29,Ultrabook,12.8,"12.8"" 1920x1080",AMD Ryzen 9,8,128GB,Intel HD Graphics,Windows 10,0.81,458,Yes,No,HDD
30,Microsoft,Microsoft Gaming 30,Notebook,14.9,"14.9"" 1920x1080",AMD Ryzen 7,4,4GB,NVIDIA GeForce GTX 1660,macOS,1.49,661,Yes,No,Hybrid
31,Huawei,Huawei Workstation 31,Gaming,16.6,"16.6"" 3840x2160",AMD Ryzen 5,64,8GB,NVIDIA GeForce GTX 1660,Windows 11,3.03,1149,Yes,No,Hybrid
32,HP,HP Ultrabook 32,Gaming,16.7,"16.7"" 2560x1440",Intel Core i9,8,32GB,NVIDIA GeForce RTX 3070,macOS,2.97,2062,Yes,Yes,HDD
33,Razer,Razer Netbook 33,Notebook,15.2,"15.2"" 2560x1440",Intel Core i3,4,16GB,NVIDIA GeForce RTX 3060,Windows 11,2.48,683,No,No,Hybrid
34,Razer,Razer Ultrabook 34,Ultrabook,11.2,"11.2"" 2560x1440",AMD Ryzen 9,8,16GB,NVIDIA GeForce RTX 3050,Linux,1.04,1563,No,Yes,SSD
35,Dell,Dell 2 in 1 Convertible 35,Netbook,13.5,"13.5"" 2560x1440",Intel Core i5,32,512GB,NVIDIA GeForce RTX 3080,Windows 11,1.43,1531,Yes,No,HDD
36,Dell,Dell Gaming 36,Netbook,12.8,"12.8"" 2560x1440",Intel Core i5,4,512GB,NVIDIA GeForce RTX 3060,macOS,1.08,496,No,No,SSD
37,MSI,MSI Workstation 37,Gaming,16.9,"16.9"" 3840x2160",AMD Ryzen 9,16,64GB,Intel HD Graphics,Windows 10,2.59,989,No,No,HDD
38,HP,HP Gaming 38,2 in 1 Convertible,14.3,"14.3"" 1366x768",Intel Core i9,8,512GB,NVIDIA GeForce RTX 3060,Windows 11,1.56,1623,Yes,No,SSD
39,Razer,Razer Gaming 39,2 in 1 Convertible,14.1,"14.1"" 2560x1440",Intel Core i3,8,256GB,NVIDIA GeForce GTX 1650,Chrome OS,1.39,808,Yes,Yes,Hybrid
40,Microsoft,Microsoft Notebook 40,Ultrabook,11.0,"11.0"" 1366x768",AMD Ryzen 9,32,4GB,Intel HD Graphics,Windows 10,1.11,1024,Yes,Yes,SSD
41,Apple,Apple Workstation 41,2 in 1 Convertible,14.2,"14.2"" 1366x768",Intel Core i9,8,8GB,NVIDIA GeForce RTX 3070,macOS,2.25,3275,Yes,No,SSD
42,Huawei,Huawei Workstation 42,Ultrabook,12.5,"12.5"" 2560x1440",AMD Ryzen 9,32,4GB,NVIDIA GeForce RTX 3080,macOS,0.87,2284,Yes,No,SSD
43,MSI,MSI 2 in 1 Convertible 43,Workstation,17.1,"17.1"" 3840x2160",Intel Core i7,16,512GB,NVIDIA GeForce GTX 1650,Windows 10,2.6,1428,No,Yes,Hybrid
44,Acer,Acer Workstation 44,Ultrabook,11.3,"11.3"" 2560x1440",AMD Ryzen 3,16,256GB,AMD Radeon RX 5500M,Windows 10,0.91,408,No,No,SSD
45,HP,HP Netbook 45,Netbook,13.4,"13.4"" 2560x1440",Intel Core i7,8,8GB,AMD Radeon RX 6800M,Windows 10,2.11,787,No,No,SSD
46,Acer,Acer Netbook 46,Netbook,11.4,"11.4"" 1366x768",AMD Ryzen 5,8,256GB,AMD Radeon RX 6800M,Windows 11,1.92,543,No,No,Hybrid
47,MSI,MSI Workstation 47,Notebook,11.4,"11.4"" 1920x1080",AMD Ryzen 3,32,32GB,AMD Radeon RX 6800M,macOS,1.51,1101,No,Yes,HDD
48,Acer,Acer Workstation 48,2 in 1 Convertible,13.3,"13.3"" 2560x1440",AMD Ryzen 9,8,8GB,NVIDIA GeForce RTX 3070,Chrome OS,1.61,1289,Yes,Yes,SSD
49,Lenovo,Lenovo Gaming 49,Netbook,15.2,"15.2"" 2560x1440",AMD Ryzen 5,32,16GB,Intel Iris Xe Graphics,macOS,1.74,476,Yes,Yes,SSD
50,Dell,Dell 2 in 1 Convertible 50,Netbook,12.1,"12.1"" 1920x1080",Intel Core i3,16,512GB,NVIDIA GeForce RTX 3080,Linux,1.96,807,No,Yes,SSD
51,Huawei,Huawei Workstation 51,Ultrabook,11.3,"11.3"" 2560x1440",Intel Core i7,4,64GB,Intel Iris Xe Graphics,macOS,1.38,383,No,No,Hybrid
52,Microsoft,Microsoft Workstation 52,Workstation,13.2,"13.2"" 1920x1080",AMD Ryzen 9,32,16GB,NVIDIA GeForce RTX 3080,Linux,1.25,3698,Yes,No,Hybrid
53,LG,LG 2 in 1 Convertible 53,Notebook,11.4,"11.4"" 2560x1440",AMD Ryzen 3,8,32GB,NVIDIA GeForce GTX 1650,Windows 11,2.6,327,Yes,No,HDD
54,Acer,Acer Gaming 54,Notebook,13.1,"13.1"" 1920x1080",AMD Ryzen 5,8,32GB,NVIDIA GeForce RTX 3070,Windows 10,1.65,783,No,No,SSD
55,LG,LG Workstation 55,Gaming,17.1,"17.1"" 2560x1440",AMD Ryzen 9,32,512GB,Intel HD Graphics,Linux,3.88,1018,Yes,No,HDD
56,Microsoft,Microsoft Gaming 56,Gaming,17.2,"17.2"" 1920x1080",Intel Core i5,16,64GB,Intel Iris Xe Graphics,Chrome OS,2.48,1153,No,No,SSD
57,Asus,Asus Gaming 57,2 in 1 Convertible,15.1,"15.1"" 1920x1080",AMD Ryzen 9,8,2TB,AMD Radeon RX 5500M,Chrome OS,2.12,667,Yes,Yes,Hybrid
58,MSI,MSI 2 in 1 Convertible 58,2 in 1 Convertible,14.1,"14.1"" 2560x1440",AMD Ryzen 5,32,64GB,AMD Radeon RX 6600M,Windows 10,2.69,1249,Yes,Yes,SSD
59,LG,LG Gaming 59,2 in 1 Convertible,14.0,"14.0"" 1920x1080",AMD Ryzen 5,8,64GB,NVIDIA GeForce GTX 1660,Windows 11,2.33,565,Yes,No,SSD
60,Asus,Asus 2 in 1 Convertible 60,Workstation,15.0,"15.0"" 1920x1080",Intel Core i9,128,64GB,NVIDIA GeForce RTX 3070,Windows 10,1.28,3974,No,Yes,Hybrid
61,Samsung,Samsung Netbook 61,Netbook,12.8,"12.8"" 1920x1080",Intel Core i5,32,256GB,AMD Radeon RX 5500M,Chrome OS,1.95,674,Yes,No,Hybrid
62,LG,LG Ultrabook 62,Notebook,16.0,"16.0"" 1920x1080",Intel Core i9,32,256GB,Intel Iris Xe Graphics,Windows 10,2.39,982,No,Yes,Hybrid
63,MSI,MSI 2 in 1 Convertible 63,Netbook,15.9,"15.9"" 2560x1440",Intel Core i5,4,2TB,NVIDIA GeForce GTX 1650,macOS,2.5,329,Yes,Yes,SSD
64,Lenovo,Lenovo Gaming 64,2 in 1 Convertible,13.4,"13.4"" 1920x1080",AMD Ryzen 5,16,64GB,NVIDIA GeForce GTX 1650,macOS,1.41,600,Yes,No,Hybrid
65,MSI,MSI Netbook 65,Ultrabook,13.9,"13.9"" 2560x1440",Intel Core i9,8,8GB,NVIDIA GeForce GTX 1660,Windows 10,0.99,1640,No,No,SSD
66,Acer,Acer Workstation 66,2 in 1 Convertible,14.2,"14.2"" 2560x1440",Intel Core i9,4,32GB,NVIDIA GeForce GTX 1660,Chrome OS,2.77,609,Yes,Yes,HDD
67,Acer,Acer Notebook 67,Netbook,14.5,"14.5"" 1920x1080",Intel Core i7,32,4GB,AMD Radeon RX 6800M,macOS,1.75,813,Yes,Yes,SSD
68,LG,LG 2 in 1 Convertible 68,Workstation,16.1,"16.1"" 3840x2160",AMD Ryzen 5,16,4GB,AMD Radeon RX 6600M,macOS,1.42,1097,No,Yes,HDD
69,Lenovo,Lenovo 2 in 1 Convertible 69,Ultrabook,11.6,"11.6"" 1920x1080",AMD Ryzen 9,16,512GB,NVIDIA GeForce GTX 1660,macOS,0.9,1572,Yes,No,Hybrid
70,MSI,MSI Gaming 70,Workstation,15.7,"15.7"" 1920x1080",Intel Core i7,16,64GB,Intel Iris Xe Graphics,Windows 11,2.67,1056,Yes,Yes,Hybrid
71,HP,HP Gaming 71,Ultrabook,13.6,"13.6"" 1920x1080",AMD Ryzen 5,4,2TB,NVIDIA GeForce RTX 3080,Windows 10,1.21,1129,No,Yes,HDD
72,Lenovo,Lenovo 2 in 1 Convertible 72,Ultrabook,11.7,"11.7"" 2560x1440",Intel Core i3,4,32GB,AMD Radeon RX 6600M,Windows 11,0.96,538,No,Yes,Hybrid
73,Lenovo,Lenovo Gaming 73,Ultrabook,12.5,"12.5"" 1366x768",AMD Ryzen 9,4,4GB,AMD Radeon RX 6600M,Windows 11,0.97,928,Yes,Yes,SSD
74,Apple,Apple Gaming 74,Ultrabook,13.5,"13.5"" 1920x1080",AMD Ryzen 9,32,2TB,AMD Radeon RX 5500M,macOS,0.85,2366,No,Yes,SSD
75,Razer,Razer Notebook 75,2 in 1 Convertible,12.1,"12.1"" 2560x1440",Intel Core i5,16,1TB,NVIDIA GeForce RTX 3060,Chrome OS,2.61,1738,Yes,Yes,HDD
76,Apple,Apple Workstation 76,Notebook,11.3,"11.3"" 1366x768",Intel Core i3,32,8GB,AMD Radeon RX 5500M,macOS,2.19,780,Yes,No,SSD
77,Razer,Razer Ultrabook 77,2 in 1 Convertible,13.4,"13.4"" 1366x768",AMD Ryzen 9,4,256GB,NVIDIA GeForce GTX 1650,Windows 10,2.36,921,Yes,No,HDD
78,HP,HP 2 in 1 Convertible 78,Netbook,12.7,"12.7"" 1366x768",Intel Core i9,16,32GB,NVIDIA GeForce RTX 3070,Chrome OS,1.49,1340,No,No,HDD
79,Asus,Asus 2 in 1 Convertible 79,Gaming,16.1,"16.1"" 2560x1440",AMD Ryzen 5,16,16GB,AMD Radeon RX 6800M,Linux,3.43,1558,No,No,HDD
80,MSI,MSI Notebook 80,Notebook,12.6,"12.6"" 2560x1440",Intel Core i9,8,512GB,NVIDIA GeForce GTX 1650,Windows 11,2.57,907,No,No,HDD
81,Dell,Dell Workstation 81,2 in 1 Convertible,12.2,"12.2"" 1366x768",Intel Core i7,4,4GB,Intel Iris Xe Graphics,Windows 11,1.51,652,Yes,No,HDD
82,MSI,MSI Gaming 82,2 in 1 Convertible,12.6,"12.6"" 1920x1080",AMD Ryzen 5,8,128GB,AMD Radeon RX 6600M,Linux,1.97,701,Yes,Yes,HDD
83,Razer,Razer Gaming 83,Ultrabook,11.5,"11.5"" 1366x768",Intel Core i7,16,2TB,NVIDIA GeForce RTX 3070,Windows 11,1.29,3257,No,Yes,SSD
84,HP,HP Ultrabook 84,Notebook,15.9,"15.9"" 1920x1080",AMD Ryzen 9,16,16GB,NVIDIA GeForce RTX 3080,Linux,1.07,2021,No,Yes,SSD
85,Microsoft,Microsoft Notebook 85,Netbook,17.0,"17.0"" 2560x1440",Intel Core i9,4,4GB,AMD Radeon RX 5500M,Windows 11,2.49,445,Yes,Yes,Hybrid
86,Microsoft,Microsoft Gaming 86,2 in 1 Convertible,13.9,"13.9"" 1366x768",Intel Core i7,4,64GB,Intel HD Graphics,macOS,1.44,444,Yes,Yes,Hybrid
87,HP,HP Ultrabook 87,Gaming,15.4,"15.4"" 1920x1080",AMD Ryzen 9,8,16GB,NVIDIA GeForce RTX 3050,Chrome OS,2.29,1547,No,No,SSD
88,HP,HP Netbook 88,2 in 1 Convertible,12.5,"12.5"" 1366x768",AMD Ryzen 9,16,2TB,NVIDIA GeForce GTX 1650,macOS,2.26,1254,Yes,Yes,HDD
89,HP,HP Notebook 89,Notebook,13.9,"13.9"" 1920x1080",Intel Core i9,32,32GB,NVIDIA GeForce RTX 3050,Linux,2.36,1752,Yes,No,Hybrid
90,Apple,Apple 2 in 1 Convertible 90,Gaming,16.7,"16.7"" 3840x2160",AMD Ryzen 7,32,512GB,NVIDIA GeForce RTX 3070,macOS,2.33,4155,No,No,HDD
91,Microsoft,Microsoft Netbook 91,Workstation,12.3,"12.3"" 1366x768",AMD Ryzen 3,64,64GB,NVIDIA GeForce RTX 3080,macOS,1.49,2614,No,No,HDD
92,MSI,MSI Netbook 92,2 in 1 Convertible,12.3,"12.3"" 1920x1080",AMD Ryzen 7,8,64GB,AMD Radeon RX 6700M,Windows 10,2.92,1230,Yes,No,SSD
93,HP,HP Gaming 93,2 in 1 Convertible,12.9,"12.9"" 1920x1080",Intel Core i3,8,32GB,NVIDIA GeForce GTX 1660,Chrome OS,2.11,493,Yes,Yes,HDD
94,MSI,MSI 2 in 1 Convertible 94,Workstation,14.4,"14.4"" 2560x1440",Intel Core i5,128,4GB,NVIDIA GeForce RTX 3080,macOS,1.43,4237,No,Yes,SSD
95,Asus,Asus Notebook 95,Workstation,14.5,"14.5"" 2560x1440",Intel Core i9,16,128GB,NVIDIA GeForce RTX 3080,Chrome OS,2.82,2555,Yes,Yes,Hybrid
96,Lenovo,Lenovo Netbook 96,Netbook,15.7,"15.7"" 3840x2160",Intel Core i3,8,4GB,NVIDIA GeForce RTX 3050,Chrome OS,1.35,385,Yes,No,Hybrid
97,Apple,Apple Gaming 97,Notebook,11.2,"11.2"" 1366x768",AMD Ryzen 7,16,512GB,NVIDIA GeForce GTX 1650,macOS,2.41,1151,No,No,HDD
98,Apple,Apple Ultrabook 98,Workstation,12.3,"12.3"" 2560x1440",Intel Core i7,64,512GB,NVIDIA GeForce GTX 1650,macOS,1.03,2761,No,Yes,HDD
99,Acer,Acer Netbook 99,Netbook,13.3,"13.3"" 1920x1080",Intel Core i9,32,512GB,AMD Radeon RX 6800M,Windows 11,1.92,1409,No,Yes,SSD
100,Huawei,Huawei Netbook 100,Notebook,13.9,"13.9"" 2560x1440",AMD Ryzen 3,8,128GB,NVIDIA GeForce GTX 1660,Chrome OS,1.15,271,Yes,No,HDD
101,Samsung,Samsung Gaming 101,2 in 1 Convertible,12.6,"12.6"" 1920x1080",AMD Ryzen 3,16,256GB,Intel HD Graphics,macOS,2.03,464,Yes,Yes,SSD
102,Lenovo,Lenovo Gaming 102,Netbook,14.3,"14.3"" 2560x1440",AMD Ryzen 3,32,64GB,NVIDIA GeForce RTX 3080,Windows 11,1.39,976,No,No,HDD
103,Asus,Asus Workstation 103,2 in 1 Convertible,14.5,"14.5"" 1366x768",Intel Core i3,16,2TB,AMD Radeon RX 6600M,Windows 11,2.55,677,Yes,No,HDD
104,LG,LG Netbook 104,Notebook,15.7,"15.7"" 1920x1080",Intel Core i3,4,16GB,NVIDIA GeForce GTX 1650,Windows 10,1.83,315,Yes,No,Hybrid
105,Acer,Acer Notebook 105,2 in 1 Convertible,14.8,"14.8"" 1366x768",Intel Core i3,32,512GB,Intel HD Graphics,Linux,2.39,408,Yes,Yes,HDD
106,Huawei,Huawei Netbook 106,Netbook,14.1,"14.1"" 1920x1080",AMD Ryzen 7,8,1TB,AMD Radeon RX 6600M,Windows 10,2.55,380,Yes,Yes,Hybrid
107,MSI,MSI 2 in 1 Convertible 107,Workstation,11.0,"11.0"" 1366x768",AMD Ryzen 7,32,512GB,Intel Iris Xe Graphics,Chrome OS,2.85,1381,No,No,SSD
108,Asus,Asus 2 in 1 Convertible 108,Notebook,16.5,"16.5"" 1920x1080",Intel Core i7,16,32GB,NVIDIA GeForce GTX 1660,Windows 11,2.86,742,No,No,HDD
109,Asus,Asus Gaming 109,Ultrabook,13.1,"13.1"" 1366x768",Intel Core i7,16,128GB,NVIDIA GeForce RTX 3080,Windows 11,1.09,1883,Yes,No,HDD
110,Dell,Dell Workstation 110,Gaming,15.9,"15.9"" 3840x2160",Intel Core i7,32,4GB,NVIDIA GeForce RTX 3050,macOS,3.51,2107,Yes,No,HDD
111,LG,LG Notebook 111,2 in 1 Convertible,12.1,"12.1"" 2560x1440",Intel Core i9,16,64GB,AMD Radeon RX 6800M,Windows 11,2.99,2029,Yes,Yes,HDD
112,MSI,MSI Ultrabook 112,Gaming,16.2,"16.2"" 2560x1440",AMD Ryzen 7,64,8GB,NVIDIA GeForce RTX 3080,Linux,2.7,4293,No,Yes,SSD
113,HP,HP Gaming 113,Ultrabook,13.2,"13.2"" 1366x768",AMD Ryzen 3,4,128GB,Intel Iris Xe Graphics,Chrome OS,1.14,317,No,No,Hybrid
114,LG,LG 2 in 1 Convertible 114,Ultrabook,12.8,"12.8"" 1366x768",AMD Ryzen 7,32,2TB,NVIDIA GeForce GTX 1660,Chrome OS,1.19,1348,No,Yes,SSD
115,Razer,Razer Workstation 115,2 in 1 Convertible,12.1,"12.1"" 2560x1440",AMD Ryzen 3,4,16GB,NVIDIA GeForce RTX 3080,Linux,2.81,1247,Yes,No,SSD
116,HP,HP Ultrabook 116,Notebook,13.4,"13.4"" 1920x1080",AMD Ryzen 5,32,8GB,AMD Radeon RX 6600M,macOS,2.31,931,No,Yes,HDD
117,Acer,Acer 2 in 1 Convertible 117,Ultrabook,12.7,"12.7"" 2560x1440",AMD Ryzen 7,32,256GB,NVIDIA GeForce RTX 3080,macOS,1.21,1875,Yes,No,SSD
118,Lenovo,Lenovo Gaming 118,Gaming,16.6,"16.6"" 1920x1080",AMD Ryzen 7,32,128GB,NVIDIA GeForce GTX 1650,Chrome OS,3.4,1417,Yes,No,SSD
119,Huawei,Huawei 2 in 1 Convertible 119,2 in 1 Convertible,12.3,"12.3"" 1366x768",AMD Ryzen 9,4,32GB,AMD Radeon RX 6700M,Chrome OS,1.46,799,Yes,Yes,HDD
120,Razer,Razer Ultrabook 120,Netbook,16.4,"16.4"" 2560x1440",Intel Core i3,32,8GB,NVIDIA GeForce GTX 1660,macOS,2.44,885,Yes,Yes,SSD
121,MSI,MSI Ultrabook 121,Netbook,15.9,"15.9"" 2560x1440",Intel Core i7,16,128GB,AMD Radeon RX 6800M,Windows 11,2.6,974,No,No,HDD
122,Lenovo,Lenovo Gaming 122,Netbook,14.3,"14.3"" 2560x1440",Intel Core i9,16,256GB,AMD Radeon RX 6700M,Chrome OS,2.68,1209,No,No,HDD
123,Lenovo,Lenovo Ultrabook 123,Ultrabook,13.2,"13.2"" 2560x1440",AMD Ryzen 7,8,1TB,NVIDIA GeForce RTX 3080,Windows 11,1.23,1930,No,Yes,HDD
124,Lenovo,Lenovo Netbook 124,Ultrabook,12.7,"12.7"" 1366x768",Intel Core i7,4,16GB,Intel Iris Xe Graphics,Linux,1.13,598,Yes,No,Hybrid
125,Asus,Asus Netbook 125,Gaming,17.1,"17.1"" 2560x1440",Intel Core i5,64,64GB,NVIDIA GeForce RTX 3060,Chrome OS,3.07,1853,Yes,Yes,Hybrid
126,Microsoft,Microsoft Ultrabook 126,Notebook,11.9,"11.9"" 2560x1440",Intel Core i9,32,256GB,AMD Radeon RX 6600M,Windows 10,2.93,2280,Yes,No,HDD
127,Apple,Apple Notebook 127,Notebook,11.5,"11.5"" 2560x1440",Intel Core i3,4,32GB,AMD Radeon RX 5500M,macOS,1.92,445,No,No,SSD
128,Lenovo,Lenovo 2 in 1 Convertible 128,Gaming,15.8,"15.8"" 1920x1080",AMD Ryzen 7,64,2TB,NVIDIA GeForce RTX 3060,Linux,3.52,2241,Yes,Yes,HDD
129,Samsung,Samsung Ultrabook 129,Workstation,16.5,"16.5"" 3840x2160",Intel Core i3,64,512GB,NVIDIA GeForce RTX 3050,macOS,2.61,1541,No,Yes,Hybrid
130,Asus,Asus Notebook 130,Notebook,14.3,"14.3"" 1366x768",Intel Core i7,8,512GB,NVIDIA GeForce GTX 1650,Windows 11,2.5,480,No,No,SSD
131,Huawei,Huawei 2 in 1 Convertible 131,Gaming,17.1,"17.1"" 3840x2160",AMD Ryzen 9,8,512GB,NVIDIA GeForce GTX 1660,Linux,3.09,921,No,No,SSD
132,Apple,Apple Gaming 132,2 in 1 Convertible,15.2,"15.2"" 2560x1440",Intel Core i7,32,512GB,NVIDIA GeForce RTX 3060,macOS,2.44,2858,Yes,Yes,SSD
133,Apple,Apple Workstation 133,Gaming,15.7,"15.7"" 2560x1440",AMD Ryzen 7,8,4GB,NVIDIA GeForce RTX 3050,macOS,2.99,1835,No,Yes,SSD
134,MSI,MSI Ultrabook 134,Gaming,16.3,"16.3"" 3840x2160",Intel Core i3,8,4GB,Intel Iris Xe Graphics,Windows 11,3.7,550,Yes,No,Hybrid
135,Huawei,Huawei Gaming 135,Notebook,12.5,"12.5"" 1366x768",Intel Core i7,8,1TB,NVIDIA GeForce RTX 3060,Windows 11,2.44,587,No,Yes,SSD
136,Samsung,Samsung Netbook 136,Notebook,15.4,"15.4"" 2560x1440",AMD Ryzen 3,32,512GB,NVIDIA GeForce RTX 3080,macOS,1.61,1420,No,No,SSD
137,Razer,Razer Netbook 137,Notebook,13.4,"13.4"" 2560x1440",Intel Core i5,16,1TB,NVIDIA GeForce GTX 1660,macOS,2.69,1257,Yes,Yes,SSD
138,Lenovo,Lenovo Ultrabook 138,2 in 1 Convertible,15.4,"15.4"" 2560x1440",AMD Ryzen 9,32,4GB,NVIDIA GeForce RTX 3060,macOS,2.18,2370,Yes,No,HDD
139,Samsung,Samsung Notebook 139,2 in 1 Convertible,15.1,"15.1"" 3840x2160",AMD Ryzen 3,4,2TB,AMD Radeon RX 6700M,Windows 11,2.73,608,Yes,Yes,HDD
140,Samsung,Samsung Workstation 140,Netbook,16.2,"16.2"" 1920x1080",Intel Core i5,32,32GB,AMD Radeon RX 6700M,Chrome OS,1.27,999,Yes,No,SSD
141,MSI,MSI Ultrabook 141,Ultrabook,12.5,"12.5"" 2560x1440",Intel Core i5,16,2TB,AMD Radeon RX 5500M,macOS,1.13,976,Yes,No,HDD
142,HP,HP Notebook 142,Ultrabook,11.9,"11.9"" 1920x1080",AMD Ryzen 7,16,8GB,AMD Radeon RX 6700M,Windows 11,1.4,1649,No,No,Hybrid
143,Microsoft,Microsoft Ultrabook 143,Netbook,11.9,"11.9"" 1366x768",AMD Ryzen 3,4,2TB,AMD Radeon RX 6800M,Linux,2.44,452,No,Yes,SSD
144,Acer,Acer Workstation 144,2 in 1 Convertible,14.1,"14.1"" 1920x1080",AMD Ryzen 3,32,4GB,NVIDIA GeForce GTX 1660,macOS,1.56,605,Yes,No,SSD
145,Asus,Asus Netbook 145,2 in 1 Convertible,14.6,"14.6"" 1366x768",Intel Core i7,4,4GB,NVIDIA GeForce RTX 3070,Windows 11,1.51,830,Yes,No,HDD
